submission_id,RT,actualLife,age,comments,education,endTime,experiment_id,gender,intent,languages,option1,option2,outcome,perceivedLife,question,rating_slider,rating_slider_actual,rating_slider_perceived,startDate,startTime,timeSpent,trial_number,trial_type
62,18144,Looking at the actual life: ,,test,,1540992195912,8,,devil,,Completely Disagree,Completely Agree,Good,Looking at the perceived life: ,Noscorr was happy.,26,36,75,Wed Oct 31 2018 14:21:55 GMT+0100 (Mitteleurop채ische Normalzeit),1540992115418,1.3415666666666666,1,mainSliderRating
62,23399,Looking at the actual life: ,,test,,1540992195912,8,,angel,,Completely Disagree,Completely Agree,Good,Looking at the perceived life: ,Merrhi was happy.,70,49,49,Wed Oct 31 2018 14:21:55 GMT+0100 (Mitteleurop채ische Normalzeit),1540992115418,1.3415666666666666,2,mainSliderRating
62,12886,Looking at the actual life: ,,test,,1540992195912,8,,devil,,Completely Disagree,Completely Agree,Bad,Looking at the perceived life: ,Cyp was happy.,67,49,49,Wed Oct 31 2018 14:21:55 GMT+0100 (Mitteleurop채ische Normalzeit),1540992115418,1.3415666666666666,3,mainSliderRating
62,14344,Looking at the actual life: ,,test,,1540992195912,8,,angel,,Completely Disagree,Completely Agree,Bad,Looking at the perceived life: ,Khamma was happy.,67,49,49,Wed Oct 31 2018 14:21:55 GMT+0100 (Mitteleurop채ische Normalzeit),1540992115418,1.3415666666666666,4,mainSliderRating
61,9672,Looking at the actual life: ,,,,1540760292298,8,,angel,,Completely Disagree,Completely Agree,Bad,Looking at the perceived life: ,Merrhi is happy.,71,49,60,Sun Oct 28 2018 21:57:22 GMT+0100,1540760242224,0.8345666666666667,1,mainSliderRating
61,10298,Looking at the actual life: ,,,,1540760292298,8,,devil,,Completely Disagree,Completely Agree,Bad,Looking at the perceived life: ,Noscorr is happy.,64,51,51,Sun Oct 28 2018 21:57:22 GMT+0100,1540760242224,0.8345666666666667,2,mainSliderRating
61,15386,Looking at the actual life: ,,,,1540760292298,8,,devil,,Completely Disagree,Completely Agree,Good,Looking at the perceived life: ,Cyp is happy.,76,59,51,Sun Oct 28 2018 21:57:22 GMT+0100,1540760242224,0.8345666666666667,3,mainSliderRating
61,10729,Looking at the actual life: ,,,,1540760292298,8,,angel,,Completely Disagree,Completely Agree,Good,Looking at the perceived life: ,Khamma is happy.,76,51,51,Sun Oct 28 2018 21:57:22 GMT+0100,1540760242224,0.8345666666666667,4,mainSliderRating
60,3936,Looking at the actual life: ,,,,1540557645714,8,,angel,,Completely Disagree,Completely Agree,angelBad,Looking at the perceived life: ,Noscorr is happy.,66,49,49,Fri Oct 26 2018 14:40:30 GMT+0200,1540557630613,0.2516833333333333,1,mainSliderRating
60,2636,Looking at the actual life: ,,,,1540557645714,8,,devil,,Completely Disagree,Completely Agree,devilBad,Looking at the perceived life: ,Merrhi is happy.,71,49,49,Fri Oct 26 2018 14:40:30 GMT+0200,1540557630613,0.2516833333333333,2,mainSliderRating
60,2604,Looking at the actual life: ,,,,1540557645714,8,,devil,,Completely Disagree,Completely Agree,devilGood,Looking at the perceived life: ,Khamma is happy.,70,49,49,Fri Oct 26 2018 14:40:30 GMT+0200,1540557630613,0.2516833333333333,3,mainSliderRating
60,2689,Looking at the actual life: ,,,,1540557645714,8,,angel,,Completely Disagree,Completely Agree,angelGood,Looking at the perceived life: ,Cyp is happy.,78,49,49,Fri Oct 26 2018 14:40:30 GMT+0200,1540557630613,0.2516833333333333,4,mainSliderRating
